FSA,min_consumption,max_consumption,avg_consumption
L4S,5988.6,13959.5,9571.878494623656
L4T,4983.3,12326.6,8091.224327956989
L4W,2725.0,7196.0,4549.934811827957
L4X,1570.9,4135.8,2709.0380376344087
L4Y,3590.2,9027.7,6038.552419354839
L4Z,4587.8,11713.5,7802.3866935483875
L5A,4090.7,10545.0,6955.143279569892
L5B,5882.9,14821.8,9987.89690860215
L5C,4637.3,11250.6,7560.540860215055
L5E,2311.1,5351.4,3667.823924731183
L5G,4288.5,9213.0,6548.1903225806445
L5H,4784.099999999999,10390.2,7339.932930107527
L5J,5651.3,13660.7,9356.125940860216
L5K,1815.0,4496.9,2946.869220430108
L5L,6943.700000000001,17435.5,11511.945564516129
L5M,15554.3,37106.2,25233.80228494624
L5N,12639.2,32061.2,20980.671505376344
L5R,4360.5,10781.8,7229.651747311828
L5V,6893.3,16770.8,11279.733602150538
L5W,3779.7,9204.7,6118.122580645161
L6A,15303.0,35869.3,24516.95672043011
L6B,5570.700000000001,12799.1,8764.720833333333
L6C,10175.3,21825.3,15261.25255376344
L6E,5711.700000000001,13572.2,9073.289650537634
L6G,152.4,340.3,229.1923387096774
L6H,12870.9,31740.2,21206.525403225805
L6J,6928.6,15716.3,10938.581317204302
L6K,2625.3,6013.3,4134.032392473118
L6L,6821.799999999999,15620.1,10780.75362903226
L6M,12472.7,31414.4,20667.540456989245
L6P,15486.1,38693.0,24758.79435483871
L6R,13523.7,37125.6,22523.503897849463
L6S,9873.8,24493.4,16234.524865591398
L6T,4204.1,10506.8,6898.268145161291
L6V,6384.0,16392.0,10501.88185483871
L6W,3427.7,8434.5,5564.044354838709
L6X,12686.3,31637.2,20403.13481182796
L6Y,13928.6,35544.4,22720.36626344086
L6Z,6072.0,15454.0,9834.520161290322
L7,981.7,2101.2,1606.6033112582782
L7A,17297.6,44239.1,27903.3498655914
L7B,7045.7,13883.4,10245.331048387096
L7C,8356.7,17674.8,12584.312096774192
L7E,7684.299999999999,18271.7,12288.93817204301
L7G,11222.2,27497.0,17933.634139784946
L7J,4165.7,9527.1,6624.634005376344
L7K,3515.4,7251.6,5225.355913978495
L7L,8413.2,22386.4,14204.383870967742
L7M,9225.3,24206.4,15491.764650537634
L7N,2762.2000000000003,7135.7,4568.049596774194
L7P,6537.4,16250.9,10711.015053763442
L7R,3378.6,8334.2,5554.674596774194
L7S,1513.7,3816.6,2572.697715053764
L7T,3288.0,8120.9,5375.852956989247
L8B,2000.0,5006.5,3243.3506720430105
L8E,7107.5,16986.399999999998,11451.409005376345
L8G,3796.2,9475.7,6376.904301075268
L8H,5298.9,12588.5,8291.231048387097
L8J,5413.5,13493.6,8875.837634408603
L8K,5769.400000000001,14659.6,9586.934811827958
L8L,6403.499999999999,13789.6,9640.976747311828
L8M,2848.3,6261.0,4374.450268817204
L8N,2609.9,5540.0,3978.262365591398
L8P,4055.7,9313.9,6462.553629032259
L8R,1564.6,3698.4,2537.2247311827955
L8S,3088.4,7715.299999999999,4978.017204301075
L8T,3512.3,8927.599999999999,5795.993010752688
L8V,3706.4,9115.1,6022.667338709677
L8W,4560.5,11362.7,7419.600940860215
L9,1593.2,3470.0,2457.720578778135
L9A,4580.5,11310.3,7468.751344086021
L9B,4336.599999999999,10764.7,7127.397715053764
L9C,7224.099999999999,17850.8,11802.03575268817
L9E,4098.9,8591.300000000001,6131.081317204301
L9G,6302.099999999999,14536.1,9863.282258064515
L9H,6768.1,16468.0,11019.60053763441
L9J,746.6,1823.2,1200.3892473118278
L9K,2911.5,6804.4,4633.630241935483
L9L,5186.200000000001,11638.3,8300.988575268817
L9M,6014.599999999999,13693.1,9218.377016129032
L9N,4058.5,9898.4,6554.360483870968
L9P,5785.5,13289.3,9400.709274193548
L9R,5991.7,14543.0,9427.474731182796
L9S,10332.8,22713.5,15866.818010752688
L9T,18596.1,46088.2,30101.611559139787
L9V,4812.3,10280.9,7293.036155913979
L9W,13345.9,30396.1,20633.976075268816
L9Y,12154.3,29011.6,18724.23373655914
L9Z,8256.6,18781.3,12880.983870967742
M1B,8446.5,20574.1,13638.816532258064
M1C,6815.7,16078.1,10918.39260752688
M1E,6642.9,15574.1,10482.786021505375
M1G,2962.3,6971.8,4658.794758064516
M1H,2014.2,4980.099999999999,3280.8424731182795
M1J,2974.4,7323.8,4874.390188172043
M1K,4770.400000000001,11791.8,7821.782930107527
M1L,3680.4,8996.4,6049.8563172043005
M1M,3978.7,9271.8,6415.284946236559
M1N,3887.3,9127.5,6304.521505376344
M1P,3707.6,9163.5,6148.643951612903
M1R,3945.2,9699.8,6436.844623655915
M1S,4757.0,11225.5,7624.175537634408
M1T,3585.4,8675.8,5893.235080645161
M1V,6073.7,15030.4,9950.739247311829
M1W,4956.4,12065.7,8177.355645161289
M1X,2049.6,5236.3,3412.132661290322
M2H,3315.1,7872.099999999999,5490.261827956989
M2J,5655.9,13588.7,9459.025537634408
M2K,3183.5,7140.0,5011.727016129033
M2L,4049.4,7560.0,5673.017338709678
M2M,4181.3,9255.4,6455.618145161291
M2N,7315.4,16457.4,11600.421102150538
M2P,2016.0,4125.5,2968.8952956989247
M2R,3992.2,9536.6,6376.434274193548
M3,249.0,416.0,327.2117647058824
M3A,3825.3,9037.3,6204.965188172043
M3B,3486.4,7174.3,5263.786693548387
M3C,2278.9,5044.9,3535.8467741935483
M3H,5766.5,13258.4,9238.799193548386
M3J,2745.9999999999995,6428.0,4355.965053763441
M3K,1465.1,3639.8,2407.6091397849464
M3L,2317.4,5908.8,3770.1026881720422
M3M,2819.7,7044.1,4513.884946236559
M3N,3353.9,8070.4,5451.053629032258
M4,392.4,1645.2,1065.178474114441
M4A,1318.0,3240.3,2142.707123655914
M4B,2550.4,6023.8,4057.4193548387098
M4C,5545.0,13484.7,9167.793548387095
M4E,4998.9,12294.8,8444.248252688172
M4G,3553.4,8717.4,5921.020833333333
M4H,75.8,269.7,160.32513440860214
M4J,5619.2,13525.9,9399.89193548387
M4K,4548.0,10797.0,7487.443145161291
M4L,5753.1,13905.6,9559.57634408602
M4M,3885.7,8898.800000000001,6268.5255376344085
M4N,4315.099999999999,9728.2,6826.447580645161
M4P,1731.4,4211.9,2846.8870967741937
M4R,2059.0,4891.0,3379.0490591397847
M4S,2713.8,6889.6,4609.952553763441
M4T,2018.5,4940.3,3337.2830645161293
M4V,4187.3,9013.5,6406.242607526881
M4W,4236.2,8930.5,6406.992741935484
M4X,1242.0,2767.1,1967.662634408602
M4Y,2464.3,5421.5,3721.100403225807
M5,442.1,860.7,662.839247311828
M5A,4502.4,10123.3,7109.595564516128
M5B,1196.3,2565.9,1821.625940860215
M5C,238.7,605.3,394.260752688172
M5E,507.6,1241.7,848.667741935484
M5G,339.5,760.4,526.3337365591398
M5H,309.7,659.5,460.4922043010753
M5J,1948.9,4316.0,2998.620295698925
M5M,5909.8,13530.6,9422.447311827957
M5N,3649.4,7862.5,5640.364247311828
M5P,4762.8,9867.3,7154.007123655913
M5R,5022.4,10939.5,7859.62997311828
M5S,2724.3,5646.4,4132.375134408602
M5T,2400.3,4841.7,3595.0948924731183
M5V,5400.7,13898.8,9085.66075268817
M6,420.4,679.4,543.9333333333334
M6A,2798.0,6833.799999999999,4549.184677419355
M6B,3724.4,8296.9,5924.804301075269
M6C,4248.8,9430.2,6724.854704301076
M6E,6194.7,14489.1,9927.37876344086
M6G,5951.0,13372.8,9639.39126344086
M6H,7330.1,16023.7,11680.014784946236
M6J,5859.1,12985.6,9372.639516129031
M6K,4631.6,10681.4,7410.57002688172
M6L,2719.4,6764.2,4375.723521505376
M6M,4645.1,11250.9,7479.175940860216
M6N,5484.1,13046.2,8913.985215053763
M6P,5148.0,12269.3,8540.904838709677
M6R,3715.7,8572.9,6075.258064516129
M6S,5132.3,12984.5,8718.843548387096
M8,181.9,639.1,350.2190860215054
M8V,5969.6,14585.5,9712.257795698924
M8W,4022.3,9588.9,6499.669220430108
M8X,2239.0,5137.2,3547.126612903226
M8Y,3829.5,9353.4,6185.135349462365
M8Z,3332.3,8066.700000000001,5463.729569892473
M9A,5860.299999999999,13225.0,9094.074462365592
M9B,4700.1,11465.6,7699.810080645161
M9C,4150.400000000001,10511.5,6900.144086021505
M9L,1671.3,4133.0,2731.694892473118
M9M,2780.9,6955.4,4465.923655913979
M9N,2695.4,6382.700000000001,4332.272580645161
M9P,2746.2000000000003,6765.2,4488.057392473119
M9R,3153.5,7679.9,5135.474865591397
M9V,5762.0,14055.0,9374.354704301077
M9W,5008.5,12197.6,8183.729838709677
N0,290.9,901.8,493.1041666666667
N0A,14708.5,29754.6,22009.00120967742
N0B,33255.7,69395.1,50810.94946236559
N0C,7086.1,14828.4,10592.574596774191
N0E,15388.3,31041.4,23004.481317204303
N0G,32731.3,70626.2,50941.98266129033
N0H,25170.5,53836.9,37959.125134408605
N0J,14224.5,28981.7,21240.641532258065
N0K,9849.5,20247.9,14840.37190860215
N0L,18198.5,40431.7,29528.050403225807
N0M,26469.0,54194.4,39951.7379032258
N0N,13710.0,29486.4,21000.915322580644
N0P,18180.9,38474.4,27449.36827956989
N0R,14710.5,31564.1,22320.72970430108
N1A,3500.7,7376.1,5394.550940860215
N1C,683.1999999999999,1970.5,1166.5100806451612
N1E,8094.6,21238.4,13311.486559139785
N1G,6106.6,16223.5,10086.980913978494
N1H,9145.0,21315.7,14535.925940860216
N1K,1685.1,4399.5,2712.757661290322
N1L,3174.3,8195.0,5182.119892473119
N1M,4288.5,10828.4,7110.043010752688
N1P,1381.3,3754.1,2277.3459677419355
N1R,9175.0,21664.0,14739.04556451613
N1S,4301.099999999999,10782.7,7052.793548387097
N1T,3292.4,8571.5,5501.380241935483
N2A,6338.5,15510.8,10223.951478494624
N2B,3234.3,8139.599999999999,5352.134811827957
N2C,2020.3,4928.8,3320.748252688172
N2E,6522.5,16674.9,10664.398521505376
N2G,2210.4,5235.3,3574.132123655914
N2H,4649.0,11063.5,7546.766129032258
N2J,4387.999999999999,10428.8,7163.59690860215
N2K,6087.6,15417.7,10021.949865591398
N2L,6657.400000000001,15775.6,10744.584811827955
N2M,6006.3,14881.2,9924.436962365591
N2N,4978.900000000001,12995.9,8222.597043010754
N2P,5269.5,12732.5,8447.75752688172
N2R,3730.4,9610.1,6299.470698924732
N2T,3801.7,10084.7,6386.70120967742
N2V,3534.9,8916.4,5837.346102150537
N2Z,5406.6,12347.8,8898.160887096774
N3,986.0,2193.3,1546.3551075268815
N3A,4070.6,9703.5,6587.834139784945
N3B,2853.4,6858.5,4623.068682795699
