FSA,CUSTOMER_TYPE,HOUR,DATE,TOTAL_CONSUMPTION
L9G,Residential,2,2018-11-03,5347.2
L9G,Residential,2,2018-11-04,5563.7
L9G,Residential,2,2018-11-05,5312.8
L9G,Residential,2,2018-11-06,4982.4
L9G,Residential,2,2018-11-07,5170.6
L9G,Residential,2,2018-11-08,5370.4
L9G,Residential,2,2018-11-09,5488.7
L9G,Residential,2,2018-11-10,6034.9
L9G,Residential,2,2018-11-11,6141.6
L9G,Residential,2,2018-11-12,5671.2
L9G,Residential,2,2018-11-13,5419.2
L9G,Residential,2,2018-11-14,5914.9
L9G,Residential,2,2018-11-15,5967.8
L9G,Residential,2,2018-11-16,5901.0
L9G,Residential,2,2018-11-17,5985.4
L9G,Residential,2,2018-11-18,6194.5
L9G,Residential,2,2018-11-19,5862.1
L9G,Residential,2,2018-11-20,5814.7
L9G,Residential,2,2018-11-21,6012.7
L9G,Residential,2,2018-11-22,6688.7
L9G,Residential,2,2018-11-23,6588.0
L9G,Residential,2,2018-11-24,6211.8
L9G,Residential,2,2018-11-25,5870.6
L9G,Residential,2,2018-11-26,5678.2
L9G,Residential,2,2018-11-27,5827.5
L9G,Residential,2,2018-11-28,6111.0
L9G,Residential,2,2018-11-29,5965.6
L9G,Residential,2,2018-11-30,5950.2
L9G,Residential,2,2018-12-01,6200.0
L9G,Residential,2,2018-12-02,6210.0
L9G,Residential,2,2018-12-03,6051.8
L9G,Residential,2,2018-12-04,6104.6
L9G,Residential,2,2018-12-05,6537.3
L9G,Residential,2,2018-12-06,6370.3
L9G,Residential,2,2018-12-07,6535.1
L9G,Residential,2,2018-12-08,6703.3
L9G,Residential,2,2018-12-09,6794.1
L9G,Residential,2,2018-12-10,6415.7
L9G,Residential,2,2018-12-11,6355.6
L9G,Residential,2,2018-12-12,6495.7
L9G,Residential,2,2018-12-13,6252.7
L9G,Residential,2,2018-12-14,6273.8
L9G,Residential,2,2018-12-15,6330.2
L9G,Residential,2,2018-12-16,6475.2
L9G,Residential,2,2018-12-17,6147.9
L9G,Residential,2,2018-12-18,6347.0
L9G,Residential,2,2018-12-19,6664.9
L9G,Residential,2,2018-12-20,6356.9
L9G,Residential,2,2018-12-21,6347.0
L9G,Residential,2,2018-12-22,6814.0
L9G,Residential,2,2018-12-23,7158.6
L9G,Residential,2,2018-12-24,6787.7
L9G,Residential,2,2018-12-25,7338.5
L9G,Residential,2,2018-12-26,6947.5
L9G,Residential,2,2018-12-27,6624.7
L9G,Residential,2,2018-12-28,6403.6
L9G,Residential,2,2018-12-29,6377.2
L9G,Residential,2,2018-12-30,6758.7
L9G,Residential,2,2018-12-31,6658.4
L9G,Residential,3,2018-10-01,5046.8
L9G,Residential,3,2018-10-02,5043.4
L9G,Residential,3,2018-10-03,4925.7
L9G,Residential,3,2018-10-04,4913.6
L9G,Residential,3,2018-10-05,4995.0
L9G,Residential,3,2018-10-06,5196.8
L9G,Residential,3,2018-10-07,5068.0
L9G,Residential,3,2018-10-08,5012.9
L9G,Residential,3,2018-10-09,4850.6
L9G,Residential,3,2018-10-10,5673.6
L9G,Residential,3,2018-10-11,5930.4
L9G,Residential,3,2018-10-12,4797.8
L9G,Residential,3,2018-10-13,5056.7
L9G,Residential,3,2018-10-14,5282.2
L9G,Residential,3,2018-10-15,4887.2
L9G,Residential,3,2018-10-16,5145.8
L9G,Residential,3,2018-10-17,4910.2
L9G,Residential,3,2018-10-18,5208.7
L9G,Residential,3,2018-10-19,5100.2
L9G,Residential,3,2018-10-20,5524.0
L9G,Residential,3,2018-10-21,5230.1
L9G,Residential,3,2018-10-22,5086.9
L9G,Residential,3,2018-10-23,4996.5
L9G,Residential,3,2018-10-24,5092.1
L9G,Residential,3,2018-10-25,5139.3
L9G,Residential,3,2018-10-26,5014.0
L9G,Residential,3,2018-10-27,5215.5
L9G,Residential,3,2018-10-28,5404.4
L9G,Residential,3,2018-10-29,5013.8
L9G,Residential,3,2018-10-30,5248.6
L9G,Residential,3,2018-10-31,4742.8
L9G,Residential,3,2018-11-01,4835.3
L9G,Residential,3,2018-11-02,5187.0
L9G,Residential,3,2018-11-03,5211.3
L9G,Residential,3,2018-11-04,5371.3
L9G,Residential,3,2018-11-05,5159.8
L9G,Residential,3,2018-11-06,4773.3
L9G,Residential,3,2018-11-07,4966.9
L9G,Residential,3,2018-11-08,5190.7
