FSA,CUSTOMER_TYPE,HOUR,DATE,TOTAL_CONSUMPTION,YEAR,MONTH,DAY
L9G,Residential,1,2018-01-01,9833.5,2018,1,1
L9G,Residential,1,2018-01-02,8174.0,2018,1,2
L9G,Residential,1,2018-01-03,8119.5,2018,1,3
L9G,Residential,1,2018-01-04,7795.3,2018,1,4
L9G,Residential,1,2018-01-05,8537.9,2018,1,5
L9G,Residential,1,2018-01-06,9197.1,2018,1,6
L9G,Residential,1,2018-01-07,9312.0,2018,1,7
L9G,Residential,1,2018-01-08,7682.1,2018,1,8
L9G,Residential,1,2018-01-09,6821.2,2018,1,9
L9G,Residential,1,2018-01-10,6972.9,2018,1,10
L9G,Residential,1,2018-01-11,6602.2,2018,1,11
L9G,Residential,1,2018-01-12,6007.3,2018,1,12
L9G,Residential,1,2018-01-13,7688.2,2018,1,13
L9G,Residential,1,2018-01-14,8573.4,2018,1,14
L9G,Residential,1,2018-01-15,7731.7,2018,1,15
L9G,Residential,1,2018-01-16,7323.4,2018,1,16
L9G,Residential,1,2018-01-17,7462.6,2018,1,17
L9G,Residential,1,2018-01-18,7605.5,2018,1,18
L9G,Residential,1,2018-01-19,7360.0,2018,1,19
L9G,Residential,1,2018-01-20,7578.9,2018,1,20
L9G,Residential,1,2018-01-21,7318.2,2018,1,21
L9G,Residential,1,2018-01-22,6410.7,2018,1,22
L9G,Residential,1,2018-01-23,6515.4,2018,1,23
L9G,Residential,1,2018-01-24,6822.9,2018,1,24
L9G,Residential,1,2018-01-25,7184.5,2018,1,25
L9G,Residential,1,2018-01-26,6909.0,2018,1,26
L9G,Residential,1,2018-01-27,6824.6,2018,1,27
L9G,Residential,1,2018-01-28,6876.8,2018,1,28
L9G,Residential,1,2018-01-29,6646.3,2018,1,29
L9G,Residential,1,2018-01-30,6938.7,2018,1,30
L9G,Residential,1,2018-01-31,7568.8,2018,1,31
L9G,Residential,1,2018-02-01,6797.3,2018,2,1
L9G,Residential,1,2018-02-02,7252.1,2018,2,2
L9G,Residential,1,2018-02-03,7947.9,2018,2,3
L9G,Residential,1,2018-02-04,7676.2,2018,2,4
L9G,Residential,1,2018-02-05,7255.5,2018,2,5
L9G,Residential,1,2018-02-06,7311.2,2018,2,6
L9G,Residential,1,2018-02-07,7359.5,2018,2,7
L9G,Residential,1,2018-02-08,7335.4,2018,2,8
L9G,Residential,1,2018-02-09,7342.4,2018,2,9
L9G,Residential,1,2018-02-10,7410.5,2018,2,10
L9G,Residential,1,2018-02-11,7628.9,2018,2,11
L9G,Residential,1,2018-02-12,6969.0,2018,2,12
L9G,Residential,1,2018-02-13,7178.7,2018,2,13
L9G,Residential,1,2018-02-14,6921.0,2018,2,14
L9G,Residential,1,2018-02-15,6404.0,2018,2,15
L9G,Residential,1,2018-02-16,6249.8,2018,2,16
L9G,Residential,1,2018-02-17,7352.1,2018,2,17
L9G,Residential,1,2018-02-18,7196.4,2018,2,18
L9G,Residential,1,2018-02-19,6861.3,2018,2,19
L9G,Residential,1,2018-02-20,6020.7,2018,2,20
L9G,Residential,1,2018-02-21,5575.4,2018,2,21
L9G,Residential,1,2018-02-22,6564.4,2018,2,22
L9G,Residential,1,2018-02-23,6697.2,2018,2,23
L9G,Residential,1,2018-02-24,6791.9,2018,2,24
L9G,Residential,1,2018-02-25,6990.1,2018,2,25
L9G,Residential,1,2018-02-26,6204.1,2018,2,26
L9G,Residential,1,2018-02-27,6112.7,2018,2,27
L9G,Residential,1,2018-02-28,5867.9,2018,2,28
L9G,Residential,1,2018-03-01,5752.7,2018,3,1
L9G,Residential,1,2018-03-02,6624.7,2018,3,2
L9G,Residential,1,2018-03-03,6864.2,2018,3,3
L9G,Residential,1,2018-03-04,6926.8,2018,3,4
L9G,Residential,1,2018-03-05,6606.5,2018,3,5
L9G,Residential,1,2018-03-06,6323.3,2018,3,6
L9G,Residential,1,2018-03-07,6526.5,2018,3,7
L9G,Residential,1,2018-03-08,6369.3,2018,3,8
L9G,Residential,1,2018-03-09,6575.6,2018,3,9
L9G,Residential,1,2018-03-10,6939.8,2018,3,10
L9G,Residential,1,2018-03-11,7008.4,2018,3,11
L9G,Residential,1,2018-03-12,6010.8,2018,3,12
L9G,Residential,1,2018-03-13,6122.7,2018,3,13
L9G,Residential,1,2018-03-14,6144.7,2018,3,14
L9G,Residential,1,2018-03-15,6305.6,2018,3,15
L9G,Residential,1,2018-03-16,6268.4,2018,3,16
L9G,Residential,1,2018-03-17,6568.9,2018,3,17
L9G,Residential,1,2018-03-18,6485.2,2018,3,18
L9G,Residential,1,2018-03-19,5824.9,2018,3,19
L9G,Residential,1,2018-03-20,6143.8,2018,3,20
L9G,Residential,1,2018-03-21,6145.6,2018,3,21
L9G,Residential,1,2018-03-22,5975.2,2018,3,22
L9G,Residential,1,2018-03-23,5886.5,2018,3,23
L9G,Residential,1,2018-03-24,6493.7,2018,3,24
L9G,Residential,1,2018-03-25,6544.5,2018,3,25
L9G,Residential,1,2018-03-26,5882.6,2018,3,26
L9G,Residential,1,2018-03-27,5531.1,2018,3,27
L9G,Residential,1,2018-03-28,5312.2,2018,3,28
L9G,Residential,1,2018-03-29,5467.8,2018,3,29
L9G,Residential,1,2018-03-30,5710.8,2018,3,30
L9G,Residential,1,2018-03-31,6063.7,2018,3,31
L9G,Residential,1,2018-04-01,6051.6,2018,4,1
L9G,Residential,1,2018-04-02,5887.0,2018,4,2
L9G,Residential,1,2018-04-03,5588.8,2018,4,3
L9G,Residential,1,2018-04-04,5641.2,2018,4,4
L9G,Residential,1,2018-04-05,6073.2,2018,4,5
L9G,Residential,1,2018-04-06,6010.1,2018,4,6
L9G,Residential,1,2018-04-07,6319.6,2018,4,7
L9G,Residential,1,2018-04-08,6337.2,2018,4,8
L9G,Residential,1,2018-04-09,6024.8,2018,4,9
L9G,Residential,1,2018-04-10,5791.7,2018,4,10
L9G,Residential,1,2018-04-11,5710.0,2018,4,11
L9G,Residential,1,2018-04-12,5635.2,2018,4,12
L9G,Residential,1,2018-04-13,5238.3,2018,4,13
