"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2020-12-01 00:00","2020","12","01","00:00","0.2","","-0.4","","96","","","","34","","17","","2.0","","97.10","","","","","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2020-12-01 01:00","2020","12","01","01:00","-0.2","","-0.7","","97","","","","33","","18","","1.6","","97.06","","","","-5","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2020-12-01 02:00","2020","12","01","02:00","-0.5","","-0.9","","97","","","","34","","15","","2.0","","97.05","","","","-5","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2020-12-01 03:00","2020","12","01","03:00","-0.7","","-1.2","","97","","","","34","","13","","1.6","","97.06","","","","-5","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2020-12-01 04:00","2020","12","01","04:00","-1.1","","-1.6","","97","","","","35","","17","","1.0","","97.04","","","","-6","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2020-12-01 05:00","2020","12","01","05:00","-1.4","","-1.9","","96","","","","35","","16","","1.6","","97.04","","","","-6","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2020-12-01 06:00","2020","12","01","06:00","-1.9","","-2.4","","96","","","","35","","14","","1.2","","97.04","","","","-7","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2020-12-01 07:00","2020","12","01","07:00","-2.0","","-2.7","","95","","","","34","","13","","1.6","","97.07","","","","-6","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2020-12-01 08:00","2020","12","01","08:00","-2.1","","-2.8","","94","","","","33","","9","","2.4","","97.08","","","","-6","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2020-12-01 09:00","2020","12","01","09:00","-1.8","","-3.0","","92","","","","33","","9","","2.4","","97.09","","","","-5","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2020-12-01 10:00","2020","12","01","10:00","-1.7","","-2.8","","92","","","","32","","9","","4.0","","97.10","","","","-5","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2020-12-01 11:00","2020","12","01","11:00","-1.3","","-2.5","","91","","","","30","","11","","2.8","","97.09","","","","-5","","Snow"
