"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 00:00","2018","01","01","00:00","-23.8","","-25.5","","86","","","","24","","11","","24.1","","100.08","","","","-32","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 01:00","2018","01","01","01:00","-22.8","","-24.6","","85","","","","25","","11","","24.1","","100.07","","","","-31","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 02:00","2018","01","01","02:00","-22.8","","-24.6","","86","","","","26","","12","","24.1","","100.06","","","","-31","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 03:00","2018","01","01","03:00","-23.4","","-25.1","","86","","","","26","","11","","24.1","","100.06","","","","-32","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 04:00","2018","01","01","04:00","-21.9","","-23.8","","85","","","","25","","7","","24.1","","100.03","","","","-28","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 05:00","2018","01","01","05:00","-20.7","","-22.8","","84","","","","23","","7","","20.9","","99.98","","","","-26","","Snow Showers"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 06:00","2018","01","01","06:00","-21.1","","-22.9","","85","","","","23","","9","","24.1","","99.95","","","","-28","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 07:00","2018","01","01","07:00","-20.8","","-22.6","","85","","","","24","","12","","24.1","","99.93","","","","-29","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 08:00","2018","01","01","08:00","-20.0","","-22.0","","84","","","","24","","15","","24.1","","99.91","","","","-29","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 09:00","2018","01","01","09:00","-17.8","","-19.9","","84","","","","23","","17","","24.1","","99.88","","","","-27","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 10:00","2018","01","01","10:00","-15.2","","-17.4","","84","","","","24","","17","","24.1","","99.90","","","","-24","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 11:00","2018","01","01","11:00","-13.1","","-16.3","","77","","","","24","","22","","24.1","","99.89","","","","-22","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 12:00","2018","01","01","12:00","-11.7","","-17.1","","65","","","","25","","28","","24.1","","99.83","","","","-21","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 13:00","2018","01","01","13:00","-11.5","","-16.9","","65","","","","25","","26","","24.1","","99.76","","","","-21","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 14:00","2018","01","01","14:00","-12.0","","-16.2","","71","","","","24","","25","","16.1","","99.73","","","","-21","","Snow Showers,Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 15:00","2018","01","01","15:00","-11.7","","-15.5","","74","","","","25","","35","","24.1","","99.73","","","","-22","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 16:00","2018","01","01","16:00","-11.2","","-14.7","","76","","","","24","","28","","24.1","","99.76","","","","-21","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 17:00","2018","01","01","17:00","-11.4","","-14.8","","76","","","","26","","31","","6.4","","99.82","","","","-21","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 18:00","2018","01","01","18:00","-12.2","","-14.8","","81","","","","25","","26","","4.8","","99.91","","","","-22","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 19:00","2018","01","01","19:00","-12.2","","-14.6","","82","","","","26","","21","","3.2","","99.95","","","","-21","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 20:00","2018","01","01","20:00","-12.1","","-14.5","","82","","","","25","","22","","4.0","","99.97","","","","-21","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 21:00","2018","01","01","21:00","-12.0","","-14.4","","82","","","","25","","21","","4.0","","99.99","","","","-21","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 22:00","2018","01","01","22:00","-12.3","","-14.3","","85","","","","24","","19","","4.0","","100.01","","","","-21","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-01 23:00","2018","01","01","23:00","-12.1","","-14.3","","84","","","","24","","17","","3.2","","100.03","","","","-20","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 00:00","2018","01","02","00:00","-11.8","","-14.3","","81","","","","25","","24","","6.4","","99.99","","","","-21","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 01:00","2018","01","02","01:00","-11.5","","-14.6","","78","","","","25","","28","","19.3","","99.94","","","","-21","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 02:00","2018","01","02","02:00","-11.6","","-14.8","","77","","","","25","","34","","24.1","","99.94","","","","-22","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 03:00","2018","01","02","03:00","-11.6","","-14.9","","76","","","","25","","28","","24.1","","99.94","","","","-21","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 04:00","2018","01","02","04:00","-11.7","","-15.0","","76","","","","24","","30","","24.1","","99.94","","","","-22","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 05:00","2018","01","02","05:00","-12.0","","-15.3","","77","","","","24","","35","","24.1","","99.92","","","","-23","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 06:00","2018","01","02","06:00","-13.1","","-16.3","","77","","","","24","","32","","24.1","","99.93","","","","-24","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 07:00","2018","01","02","07:00","-14.0","","-17.2","","77","","","","24","","34","","24.1","","99.91","","","","-25","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 08:00","2018","01","02","08:00","-14.5","","-17.4","","79","","","","24","","33","","24.1","","99.84","","","","-26","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 09:00","2018","01","02","09:00","-13.8","","-16.5","","80","","","","24","","32","","24.1","","99.77","","","","-25","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 10:00","2018","01","02","10:00","-12.0","","-14.9","","79","","","","24","","35","","19.3","","99.70","","","","-23","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 11:00","2018","01","02","11:00","-11.1","","-14.3","","77","","","","24","","42","","19.3","","99.68","","","","-22","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 12:00","2018","01","02","12:00","-10.6","","-14.2","","75","","","","24","","45","","19.3","","99.56","","","","-22","","Snow,Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 13:00","2018","01","02","13:00","-9.4","","-13.7","","71","","","","25","","44","","24.1","","99.46","","","","-20","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 14:00","2018","01","02","14:00","-9.1","","-13.6","","70","","","","24","","48","","24.1","","99.40","","","","-20","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 15:00","2018","01","02","15:00","-9.1","","-13.3","","72","","","","24","","41","","24.1","","99.41","","","","-20","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 16:00","2018","01","02","16:00","-8.7","","-13.0","","71","","","","23","","35","","24.1","","99.37","","","","-18","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 17:00","2018","01","02","17:00","-9.3","","-12.8","","76","","","","23","","41","","24.1","","99.34","","","","-20","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 18:00","2018","01","02","18:00","-9.6","","-12.5","","80","","","","24","","34","","24.1","","99.36","","","","-20","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 19:00","2018","01","02","19:00","-9.8","","-12.9","","79","","","","23","","35","","24.1","","99.37","","","","-20","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 20:00","2018","01","02","20:00","-10.2","","-13.1","","80","","","","23","","27","","24.1","","99.34","","","","-19","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 21:00","2018","01","02","21:00","-10.6","","-13.2","","81","","","","24","","26","","24.1","","99.28","","","","-20","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 22:00","2018","01","02","22:00","-11.2","","-13.7","","82","","","","24","","25","","24.1","","99.24","","","","-20","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-02 23:00","2018","01","02","23:00","-12.1","","-14.7","","81","","","","24","","15","","24.1","","99.23","","","","-19","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 00:00","2018","01","03","00:00","-12.8","","-15.3","","81","","","","25","","9","","24.1","","99.19","","","","-18","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 01:00","2018","01","03","01:00","-10.7","","-13.6","","79","","","","23","","27","","24.1","","99.11","","","","-20","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 02:00","2018","01","03","02:00","-10.7","","-14.0","","77","","","","23","","28","","24.1","","99.08","","","","-20","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 03:00","2018","01","03","03:00","-10.6","","-14.1","","76","","","","22","","25","","24.1","","99.06","","","","-20","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 04:00","2018","01","03","04:00","-10.6","","-14.3","","75","","","","23","","27","","24.1","","99.04","","","","-20","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 05:00","2018","01","03","05:00","-9.8","","-13.6","","74","","","","22","","31","","24.1","","98.97","","","","-19","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 06:00","2018","01","03","06:00","-9.6","","-12.8","","77","","","","24","","20","","24.1","","98.96","","","","-17","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 07:00","2018","01","03","07:00","-11.0","","-15.1","","72","","","","24","","26","","19.3","","98.96","","","","-20","","Snow,Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 08:00","2018","01","03","08:00","-11.0","","-14.3","","77","","","","23","","18","","24.1","","98.94","","","","-19","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 09:00","2018","01","03","09:00","-10.7","","-13.3","","81","","","","21","","13","","19.3","","98.88","","","","-17","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 10:00","2018","01","03","10:00","-9.0","","-12.2","","78","","","","21","","22","","24.1","","98.84","","","","-17","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 11:00","2018","01","03","11:00","-8.0","","-11.6","","76","","","","20","","26","","24.1","","98.78","","","","-16","","Snow Showers"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 12:00","2018","01","03","12:00","-7.8","","-11.7","","74","","","","21","","28","","24.1","","98.70","","","","-16","","Blowing Snow"
"-79.94","43.17","HAMILTON A","6153193","2018-01-03 13:00","2018","01","03","13:00","-7.7","","-11.6","","74","","","","22","","27","","19.3","","98.60","","","","-16","","Blowing Snow"
