"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 00:00","2020","06","01","00:00","7.5","","3.5","","76","","","","24","","13","","24.1","","99.52","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 01:00","2020","06","01","01:00","8.4","","5.3","","81","","","","24","","12","","24.1","","99.50","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 02:00","2020","06","01","02:00","7.6","","5.7","","88","","","","24","","11","","24.1","","99.49","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 03:00","2020","06","01","03:00","8.5","","6.9","","89","","","","26","","12","","24.1","","99.49","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 04:00","2020","06","01","04:00","8.3","","6.8","","90","","","","25","","12","","24.1","","99.55","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 05:00","2020","06","01","05:00","7.8","","6.0","","89","","","","26","","12","","24.1","","99.59","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 06:00","2020","06","01","06:00","8.7","","6.2","","84","","","","27","","11","","24.1","","99.61","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 07:00","2020","06","01","07:00","10.3","","6.8","","79","","","","26","","14","","24.1","","99.61","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 08:00","2020","06","01","08:00","12.9","","7.6","","70","","","","25","","13","","24.1","","99.60","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 09:00","2020","06","01","09:00","15.2","","6.2","","55","","","","25","","18","","24.1","","99.57","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 10:00","2020","06","01","10:00","17.3","","4.9","","44","","","","28","","20","","24.1","","99.55","","","","","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 11:00","2020","06","01","11:00","18.4","","3.9","","38","","","","23","","17","","24.1","","99.52","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 12:00","2020","06","01","12:00","19.2","","5.0","","39","","","","28","","19","","24.1","","99.45","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 13:00","2020","06","01","13:00","20.1","","3.9","","34","","","","28","","17","","24.1","","99.37","","","","","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 14:00","2020","06","01","14:00","21.1","","4.1","","32","","","","26","","21","","24.1","","99.26","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-06-01 15:00","2020","06","01","15:00","21.8","","3.6","","30","","","","25","","24","","19.3","","99.17","","","","","","NA"
