"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 00:00","2022","06","01","00:00","20.9","","16.0","","73","","","","23","","9","","24.1","","98.50","","26","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 01:00","2022","06","01","01:00","20.5","","16.1","","76","","","","23","","7","","24.1","","98.48","","25","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 02:00","2022","06","01","02:00","19.7","","16.8","","83","","","","22","","10","","24.1","","98.45","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 03:00","2022","06","01","03:00","19.3","","16.4","","83","","","","22","","10","","24.1","","98.39","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 04:00","2022","06","01","04:00","20.2","","16.4","","78","","","","23","","13","","24.1","","98.37","","25","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 05:00","2022","06","01","05:00","19.9","","16.4","","80","","","","24","","9","","24.1","","98.36","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 06:00","2022","06","01","06:00","21.6","","17.2","","76","","","","24","","10","","24.1","","98.35","","27","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 07:00","2022","06","01","07:00","23.6","","17.7","","69","","","","25","","13","","24.1","","98.37","","29","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 08:00","2022","06","01","08:00","24.9","","18.1","","65","","","","24","","15","","24.1","","98.37","","31","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 09:00","2022","06","01","09:00","25.4","","18.2","","64","","","","24","","17","","24.1","","98.33","","32","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 10:00","2022","06","01","10:00","26.5","","19.6","","65","","","","29","","17","","24.1","","98.32","","34","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 11:00","2022","06","01","11:00","26.7","","19.1","","63","","","","27","","13","","19.3","","98.28","","34","","","","Rain Showers"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 12:00","2022","06","01","12:00","24.2","","18.5","","70","","","","6","","13","","19.3","","98.24","","31","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 13:00","2022","06","01","13:00","23.6","","20.9","","85","","","","25","","17","","24.1","","98.22","","32","","","","Thunderstorms,Rain Showers"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 14:00","2022","06","01","14:00","20.4","","19.4","","94","","","","20","","8","","24.1","","98.22","","27","","","","Thunderstorms,Rain Showers"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 15:00","2022","06","01","15:00","19.9","","19.0","","94","","","","21","","35","","1.0","","98.25","","","","","","Thunderstorms,Heavy Rain Showers"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 16:00","2022","06","01","16:00","20.1","","19.6","","97","","","","25","","11","","24.1","","98.17","","27","","","","Rain Showers"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 17:00","2022","06","01","17:00","21.1","","20.3","","95","","","","27","","14","","24.1","","98.15","","29","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 18:00","2022","06","01","18:00","21.6","","20.5","","94","","","","31","","7","","24.1","","98.12","","30","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 19:00","2022","06","01","19:00","21.0","","17.4","","80","","","","34","","16","","24.1","","98.13","","27","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 20:00","2022","06","01","20:00","19.5","","15.9","","79","","","","32","","10","","24.1","","98.25","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 21:00","2022","06","01","21:00","17.1","","14.6","","85","","","","32","","11","","24.1","","98.29","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 22:00","2022","06","01","22:00","16.1","","12.2","","77","","","","33","","14","","24.1","","98.32","","","","","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-06-01 23:00","2022","06","01","23:00","14.4","","12.5","","88","","","","28","","13","","24.1","","98.32","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-06-02 00:00","2022","06","02","00:00","13.4","","9.0","","74","","","","30","","13","","24.1","","98.27","","","","","","NA"
