"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 00:00","2018","10","01","00:00","9.7","","9.6","","100","","","","2","","22","","4.8","","99.55","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 01:00","2018","10","01","01:00","9.7","","9.7","","100","","","","3","","19","","4.8","","99.55","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 02:00","2018","10","01","02:00","9.9","","9.9","","100","","","","2","","18","","3.2","","99.55","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 03:00","2018","10","01","03:00","10.2","","10.2","","100","","","","3","","21","","3.6","","99.58","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 04:00","2018","10","01","04:00","9.6","","9.5","","99","","","","3","","27","","4.8","","99.67","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 05:00","2018","10","01","05:00","8.9","","8.7","","99","","","","3","","27","","4.8","","99.71","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 06:00","2018","10","01","06:00","9.3","","9.3","","100","","","","4","","21","","4.8","","99.69","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 07:00","2018","10","01","07:00","10.7","","10.6","","99","","","","5","","27","","3.2","","99.70","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 08:00","2018","10","01","08:00","9.2","","9.2","","100","","","","1","","15","","4.0","","99.82","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 09:00","2018","10","01","09:00","8.4","","8.3","","99","","","","3","","31","","4.8","","99.85","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 10:00","2018","10","01","10:00","8.6","","8.6","","100","","","","3","","23","","2.8","","99.83","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 11:00","2018","10","01","11:00","8.7","","8.7","","100","","","","2","","24","","3.2","","99.84","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 12:00","2018","10","01","12:00","9.5","","9.5","","100","","","","5","","26","","3.2","","99.84","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 13:00","2018","10","01","13:00","10.0","","9.9","","99","","","","5","","32","","4.8","","99.81","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 14:00","2018","10","01","14:00","10.0","","9.8","","99","","","","5","","30","","4.8","","99.76","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 15:00","2018","10","01","15:00","10.0","","9.7","","98","","","","4","","30","","4.8","","99.75","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 16:00","2018","10","01","16:00","10.2","","10.0","","99","","","","6","","28","","4.8","","99.68","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 17:00","2018","10","01","17:00","10.4","","10.2","","99","","","","6","","31","","6.4","","99.63","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 18:00","2018","10","01","18:00","10.4","","10.3","","99","","","","8","","28","","16.1","","99.54","","","","","","Rain"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 19:00","2018","10","01","19:00","10.3","","10.0","","98","","","","7","","25","","19.3","","99.51","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 20:00","2018","10","01","20:00","10.4","","10.1","","98","","","","6","","17","","24.1","","99.53","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 21:00","2018","10","01","21:00","10.5","","10.3","","99","","","","6","","16","","16.1","","99.45","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 22:00","2018","10","01","22:00","10.6","","10.5","","99","","","","6","","14","","19.3","","99.38","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2018-10-01 23:00","2018","10","01","23:00","10.9","","10.8","","99","","","","5","","18","","19.3","","99.27","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-10-02 00:00","2018","10","02","00:00","11.1","","11.1","","100","","","","5","","19","","16.1","","99.19","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2018-10-02 01:00","2018","10","02","01:00","11.6","","11.6","","100","","","","6","","21","","4.0","","99.11","","","","","","Fog"
