"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2019-05-01 00:00","2019","05","01","00:00","4.1","","2.8","","91","","","","6","","26","","24.1","","99.75","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-05-01 01:00","2019","05","01","01:00","4.2","","3.0","","92","","","","6","","21","","24.1","","99.68","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-05-01 02:00","2019","05","01","02:00","4.2","","3.3","","94","","","","6","","23","","24.1","","99.67","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-05-01 03:00","2019","05","01","03:00","3.3","","3.1","","99","","","","4","","23","","4.8","","99.65","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2019-05-01 04:00","2019","05","01","04:00","3.4","","3.4","","100","","","","4","","24","","4.0","","99.56","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2019-05-01 05:00","2019","05","01","05:00","3.5","","3.5","","100","","","","5","","31","","1.6","","99.49","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2019-05-01 06:00","2019","05","01","06:00","3.6","","3.6","","100","","","","4","","35","","0.8","","99.47","","","","","","Fog"
"-79.94","43.17","HAMILTON A","6153193","2019-05-01 07:00","2019","05","01","07:00","3.5","","3.5","","100","","","","5","","37","","0.8","","99.40","","","","","","Fog"
"-79.94","43.17","HAMILTON A","6153193","2019-05-01 08:00","2019","05","01","08:00","4.0","","4.0","","100","","","","4","","31","","0.8","","99.32","","","","","","Fog"
"-79.94","43.17","HAMILTON A","6153193","2019-05-01 09:00","2019","05","01","09:00","4.5","","4.5","","100","","","","4","","34","","2.0","","99.21","","","","","","Fog"
