"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 00:00","2019","09","01","00:00","14.1","","8.7","","70","","","","7","","6","","24.1","","99.75","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 01:00","2019","09","01","01:00","13.0","","9.1","","77","","","","8","","8","","24.1","","99.74","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 02:00","2019","09","01","02:00","12.9","","9.4","","79","","","","4","","8","","24.1","","99.73","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 03:00","2019","09","01","03:00","13.2","","9.9","","81","","","","7","","8","","24.1","","99.70","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 04:00","2019","09","01","04:00","13.8","","9.9","","78","","","","5","","12","","24.1","","99.67","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 05:00","2019","09","01","05:00","13.9","","10.8","","81","","","","6","","10","","24.1","","99.61","","","","","","Rain"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 06:00","2019","09","01","06:00","14.4","","12.2","","87","","","","6","","10","","24.1","","99.64","","","","","","Rain"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 07:00","2019","09","01","07:00","15.8","","12.7","","82","","","","6","","9","","24.1","","99.62","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 08:00","2019","09","01","08:00","16.5","","13.2","","81","","","","3","","8","","24.1","","99.60","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 09:00","2019","09","01","09:00","17.8","","13.1","","73","","","","8","","11","","24.1","","99.56","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 10:00","2019","09","01","10:00","19.5","","14.8","","74","","","","13","","9","","24.1","","99.54","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 11:00","2019","09","01","11:00","20.2","","14.5","","69","","","","8","","8","","24.1","","99.48","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 12:00","2019","09","01","12:00","19.9","","14.7","","71","","","","5","","5","","24.1","","99.46","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 13:00","2019","09","01","13:00","19.2","","15.3","","78","","","","5","","7","","24.1","","99.45","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 14:00","2019","09","01","14:00","19.5","","15.4","","77","","","","6","","10","","24.1","","99.36","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 15:00","2019","09","01","15:00","17.9","","15.6","","86","","","","6","","12","","24.1","","99.26","","","","","","Rain"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 16:00","2019","09","01","16:00","17.3","","15.4","","89","","","","5","","13","","19.3","","99.18","","","","","","Rain"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 17:00","2019","09","01","17:00","16.7","","16.4","","98","","","","8","","11","","11.3","","99.18","","","","","","Rain"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 18:00","2019","09","01","18:00","16.8","","16.7","","99","","","","8","","5","","19.3","","99.17","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 19:00","2019","09","01","19:00","16.9","","16.9","","100","","","","7","","9","","12.9","","99.08","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 20:00","2019","09","01","20:00","16.6","","16.6","","100","","","","3","","4","","24.1","","99.06","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 21:00","2019","09","01","21:00","16.6","","16.6","","100","","","","6","","4","","19.3","","99.00","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 22:00","2019","09","01","22:00","16.8","","16.8","","100","","","","35","","4","","24.1","","99.00","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-09-01 23:00","2019","09","01","23:00","16.9","","16.9","","100","","","","","","0","","24.1","","98.97","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-02 00:00","2019","09","02","00:00","17.0","","17.0","","100","","","","32","","9","","16.1","","98.90","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-02 01:00","2019","09","02","01:00","16.9","","16.9","","99","","","","31","","4","","12.9","","98.85","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-09-02 02:00","2019","09","02","02:00","16.7","","16.6","","99","","","","28","","5","","19.3","","98.82","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-02 03:00","2019","09","02","03:00","16.2","","16.2","","100","","","","26","","6","","24.1","","98.77","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-02 04:00","2019","09","02","04:00","15.8","","15.8","","100","","","","27","","9","","24.1","","98.80","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-09-02 05:00","2019","09","02","05:00","15.6","","15.0","","96","","","","27","","5","","24.1","","98.78","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-09-02 06:00","2019","09","02","06:00","15.6","","15.5","","100","","","","26","","5","","24.1","","98.82","","","","","","NA"
