"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2019-06-01 00:00","2019","06","01","00:00","13.8","","10.8","","82","","","","21","","12","","24.1","","97.98","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-06-01 01:00","2019","06","01","01:00","14.4","","11.6","","83","","","","22","","11","","24.1","","97.95","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-06-01 02:00","2019","06","01","02:00","14.4","","12.0","","86","","","","22","","7","","24.1","","97.90","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-06-01 03:00","2019","06","01","03:00","14.4","","12.9","","90","","","","22","","9","","24.1","","97.90","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-06-01 04:00","2019","06","01","04:00","13.6","","12.3","","92","","","","8","","10","","24.1","","97.90","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-06-01 05:00","2019","06","01","05:00","13.7","","11.6","","87","","","","21","","4","","24.1","","97.93","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-06-01 06:00","2019","06","01","06:00","16.2","","13.9","","86","","","","24","","12","","24.1","","97.97","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-06-01 07:00","2019","06","01","07:00","18.8","","15.1","","79","","","","24","","15","","24.1","","97.97","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2019-06-01 08:00","2019","06","01","08:00","18.9","","15.0","","78","","","","24","","12","","24.1","","97.98","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-06-01 09:00","2019","06","01","09:00","19.2","","15.2","","78","","","","24","","9","","24.1","","98.00","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2019-06-01 10:00","2019","06","01","10:00","22.3","","15.4","","65","","","","24","","17","","24.1","","97.98","","27","","","","Mostly Cloudy"
