"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2020-02-01 00:00","2020","02","01","00:00","-2.3","","-4.5","","85","","","","","","0","","24.1","","99.06","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-02-01 01:00","2020","02","01","01:00","-2.5","","-4.2","","88","","","","22","","4","","24.1","","99.05","","","","-4","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2020-02-01 02:00","2020","02","01","02:00","-2.5","","-3.9","","90","","","","24","","3","","24.1","","98.97","","","","-4","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-02-01 03:00","2020","02","01","03:00","-2.5","","-4.1","","89","","","","21","","4","","24.1","","98.94","","","","-4","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-02-01 04:00","2020","02","01","04:00","-2.5","","-3.9","","90","","","","27","","4","","24.1","","98.90","","","","-4","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2020-02-01 05:00","2020","02","01","05:00","-2.5","","-4.0","","89","","","","23","","5","","24.1","","98.85","","","","-4","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-02-01 06:00","2020","02","01","06:00","-2.5","","-4.0","","89","","","","23","","5","","24.1","","98.80","","","","-4","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-02-01 07:00","2020","02","01","07:00","-2.6","","-3.8","","91","","","","21","","6","","24.1","","98.78","","","","-5","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2020-02-01 08:00","2020","02","01","08:00","-2.5","","-3.6","","92","","","","21","","5","","16.1","","98.74","","","","-4","","NA"
"-79.94","43.17","HAMILTON A","6153193","2020-02-01 09:00","2020","02","01","09:00","-1.8","","-3.1","","91","","","","20","","11","","16.1","","98.70","","","","-6","","NA"
