"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 00:00","2021","01","01","00:00","-4.6","","-5.5","","94","","","","21","","5","","24.1","","100.15","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 01:00","2021","01","01","01:00","-4.5","","-5.5","","93","","","","22","","4","","24.1","","100.16","","","","-6","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 02:00","2021","01","01","02:00","-4.8","","-5.7","","93","","","","24","","5","","24.1","","100.18","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 03:00","2021","01","01","03:00","-5.4","","-6.6","","91","","","","19","","4","","24.1","","100.19","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 04:00","2021","01","01","04:00","-5.1","","-5.8","","95","","","","5","","5","","24.1","","100.15","","","","-7","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 05:00","2021","01","01","05:00","-6.2","","-7.1","","94","","","","4","","7","","24.1","","100.06","","","","-10","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 06:00","2021","01","01","06:00","-3.5","","-5.5","","87","","","","10","","9","","24.1","","100.10","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 07:00","2021","01","01","07:00","-2.7","","-4.6","","87","","","","8","","8","","24.1","","100.08","","","","-6","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 08:00","2021","01","01","08:00","-3.4","","-5.4","","86","","","","8","","9","","24.1","","100.12","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 09:00","2021","01","01","09:00","-2.8","","-4.2","","90","","","","4","","14","","24.1","","100.04","","","","-8","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 10:00","2021","01","01","10:00","-1.4","","-3.9","","84","","","","8","","16","","24.1","","99.96","","","","-6","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 11:00","2021","01","01","11:00","-0.6","","-4.3","","76","","","","7","","25","","24.1","","99.82","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 12:00","2021","01","01","12:00","-0.3","","-5.2","","70","","","","7","","29","","24.1","","99.61","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 13:00","2021","01","01","13:00","-0.4","","-5.0","","71","","","","7","","25","","24.1","","99.49","","","","-6","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 14:00","2021","01","01","14:00","-0.5","","-4.6","","74","","","","7","","21","","24.1","","99.29","","","","-6","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 15:00","2021","01","01","15:00","-0.4","","-4.7","","73","","","","7","","24","","24.1","","99.20","","","","-6","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 16:00","2021","01","01","16:00","-0.2","","-4.5","","73","","","","6","","22","","24.1","","99.16","","","","-6","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 17:00","2021","01","01","17:00","-1.4","","-2.4","","93","","","","6","","28","","2.0","","98.99","","","","-8","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 18:00","2021","01","01","18:00","-1.3","","-1.9","","95","","","","6","","28","","6.4","","98.81","","","","-8","","Ice Pellets"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 19:00","2021","01","01","19:00","-0.7","","-1.2","","97","","","","8","","25","","4.0","","98.68","","","","-7","","Freezing Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 20:00","2021","01","01","20:00","-0.8","","-1.2","","97","","","","6","","21","","2.4","","98.51","","","","-6","","Freezing Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 21:00","2021","01","01","21:00","-0.9","","-1.1","","98","","","","6","","23","","2.4","","98.30","","","","-7","","Freezing Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 22:00","2021","01","01","22:00","-0.5","","-0.7","","99","","","","5","","24","","0.4","","98.12","","","","-6","","Freezing Rain,Freezing Fog"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01 23:00","2021","01","01","23:00","-0.2","","-0.3","","99","","","","5","","26","","1.2","","97.91","","","","-6","","Freezing Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2021-01-02 00:00","2021","01","02","00:00","0.0","","-0.1","","99","","","","7","","21","","3.6","","97.84","","","","-5","","Freezing Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2021-01-02 01:00","2021","01","02","01:00","0.1","","0.0","","99","","","","5","","21","","4.0","","97.69","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2021-01-02 02:00","2021","01","02","02:00","0.3","","0.2","","99","","","","5","","17","","2.4","","97.63","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2021-01-02 03:00","2021","01","02","03:00","0.6","","0.6","","99","","","","34","","5","","0.4","","97.72","","","","","","Rain,Fog"
"-79.94","43.17","HAMILTON A","6153193","2021-01-02 04:00","2021","01","02","04:00","0.2","","0.1","","99","","","","35","","18","","1.6","","97.71","","","","","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2021-01-02 05:00","2021","01","02","05:00","0.2","","0.0","","99","","","","33","","17","","2.4","","97.88","","","","","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2021-01-02 06:00","2021","01","02","06:00","0.0","","-0.5","","97","","","","32","","14","","12.9","","98.06","","","","-4","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-02 07:00","2021","01","02","07:00","-0.5","","-1.5","","93","","","","31","","12","","24.1","","98.31","","","","-4","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-01-02 08:00","2021","01","02","08:00","-1.0","","-2.1","","92","","","","30","","13","","24.1","","98.52","","","","-5","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-02 09:00","2021","01","02","09:00","-1.0","","-2.3","","91","","","","31","","5","","24.1","","98.69","","","","-3","","NA"
"-79.94","43.17","HAMILTON A","6153193","2021-01-02 10:00","2021","01","02","10:00","-0.7","","-2.6","","86","","","","31","","10","","24.1","","98.82","","","","-4","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2021-01-02 11:00","2021","01","02","11:00","-0.6","","-2.2","","89","","","","28","","11","","24.1","","98.88","","","","-4","","NA"
