YEAR,MONTH,DAY,HOUR,TOTAL_CONSUMPTION
2018,1,9,6,6671.7
2018,1,9,7,7603.7
2018,1,9,8,8602.9
2018,1,9,9,8238.9
2018,1,9,10,7586.8
2018,1,9,11,7492.5
2018,1,9,12,7487.1
2018,1,9,13,7575.7
2018,1,9,14,7522.7
2018,1,9,15,7633.4
2018,1,9,16,7994.2
2018,1,9,17,9194.2
2018,1,9,18,11303.9
2018,1,9,19,11586.7
2018,1,9,20,11591.6
2018,1,9,21,11394.2
2018,1,9,22,10773.0
2018,1,9,23,9530.5
2018,1,9,24,7984.7
2018,1,10,1,6972.9
2018,1,10,2,6528.7
2018,1,10,3,6341.2
2018,1,10,4,6316.8
2018,1,10,5,6493.6
2018,1,10,6,6990.0
2018,1,10,7,7938.1
2018,1,10,8,8896.4
2018,1,10,9,8465.5
2018,1,10,10,7766.9
2018,1,10,11,7553.8
2018,1,10,12,7234.0
2018,1,10,13,7265.5
2018,1,10,14,7374.8
2018,1,10,15,7625.1
2018,1,10,16,8250.2
2018,1,10,17,9491.2
2018,1,10,18,11338.3
2018,1,10,19,11408.8
2018,1,10,20,11499.4
2018,1,10,21,11243.0
2018,1,10,22,10565.2
2018,1,10,23,9179.2
2018,1,10,24,7576.6
2018,1,11,1,6602.2
2018,1,11,2,6081.3
2018,1,11,3,5754.4
2018,1,11,4,5670.8
2018,1,11,5,5771.6
2018,1,11,6,6226.7
2018,1,11,7,7211.7
2018,1,11,8,8247.6
2018,1,11,9,7885.2
2018,1,11,10,7229.4
2018,1,11,11,7154.8
2018,1,11,12,7006.9
2018,1,11,13,6905.3
2018,1,11,14,6692.4
2018,1,11,15,6852.8
2018,1,11,16,7361.8
2018,1,11,17,8806.5
2018,1,11,18,10470.4
2018,1,11,19,10619.2
2018,1,11,20,10718.7
2018,1,11,21,10512.8
2018,1,11,22,9940.6
2018,1,11,23,8685.6
2018,1,11,24,7267.4
2018,1,12,1,6007.3
2018,1,12,2,5479.6
2018,1,12,3,5139.5
2018,1,12,4,5039.0
2018,1,12,5,5109.6
2018,1,12,6,5489.0
2018,1,12,7,6413.0
2018,1,12,8,7522.1
2018,1,12,9,7428.1
2018,1,12,10,7334.0
2018,1,12,11,7485.2
2018,1,12,12,7721.0
2018,1,12,13,7768.8
2018,1,12,14,7849.4
2018,1,12,15,8051.7
2018,1,12,16,8588.2
2018,1,12,17,9700.2
2018,1,12,18,11427.1
2018,1,12,19,11756.6
2018,1,12,20,11719.2
2018,1,12,21,11455.2
2018,1,12,22,10889.5
2018,1,12,23,9796.7
2018,1,12,24,8491.5
2018,1,13,1,7688.2
2018,1,13,2,7163.5
2018,1,13,3,6907.8
2018,1,13,4,6873.3
2018,1,13,5,6912.4
2018,1,13,6,7190.9
2018,1,13,7,7670.2
2018,1,13,8,8476.5
2018,1,13,9,9467.5
2018,1,13,10,9906.0
2018,1,13,11,10059.5
2018,1,13,12,10311.3
2018,1,13,13,10442.3
2018,1,13,14,10341.1
2018,1,13,15,10098.6
2018,1,13,16,10528.8
